codigo_mesa	id_eleccion	partido_id	votos	pct_votos_validos	pct_votos_emitidos
009883	10	82	0	0.0	0.0
009890	10	10	171	81.818	77.727
009890	10	8	37	17.703	16.818
009890	10	80	1	0.0	0.455
009890	10	81	10	0.0	4.545
009890	10	82	1	0.0	0.455
009922	10	10	161	78.922	73.853
009922	10	8	43	21.078	19.725
009922	10	80	1	0.0	0.459
009922	10	81	13	0.0	5.963
009922	10	82	0	0.0	0.0
009939	10	10	109	76.761	71.711
009939	10	8	32	22.535	21.053
009939	10	80	0	0.0	0.0
009939	10	81	10	0.0	6.579
009939	10	82	1	0.0	0.658
010042	10	10	113	86.923	79.577
010042	10	8	17	13.077	11.972
010042	10	80	0	0.0	0.0
010042	10	81	12	0.0	8.451
010042	10	82	0	0.0	0.0
010058	10	10	173	73.305	70.04
010058	10	8	63	26.695	25.506
010058	10	80	2	0.0	0.81
010058	10	81	9	0.0	3.644
010058	10	82	0	0.0	0.0
010420	10	10	0	0.0	0.0
010420	10	8	23	100.0	69.697
010420	10	80	0	0.0	0.0
010420	10	81	10	0.0	30.303
010420	10	82	0	0.0	0.0
010442	10	10	169	88.482	87.113
010442	10	8	22	11.518	11.34
010442	10	80	1	0.0	0.515
010442	10	81	2	0.0	1.031
010442	10	82	0	0.0	0.0
010543	10	10	130	66.667	63.725
010543	10	8	65	33.333	31.863
010543	10	80	1	0.0	0.49
010543	10	81	8	0.0	3.922
010543	10	82	0	0.0	0.0
011030	10	10	107	83.594	76.429
011030	10	8	21	16.406	15.0
011030	10	80	2	0.0	1.429
011030	10	81	10	0.0	7.143
011030	10	82	0	0.0	0.0
011139	10	10	102	48.571	34.0
011139	10	8	108	51.429	36.0
011139	10	80	64	0.0	21.333
011139	10	81	26	0.0	8.667
011139	10	82	0	0.0	0.0
011203	10	10	126	52.941	52.5
011203	10	8	94	39.496	39.167
011203	10	80	2	0.0	0.833
011203	10	81	0	0.0	0.0
011203	10	82	18	0.0	7.5
011507	10	10	131	54.812	50.0
011507	10	8	107	44.77	40.84
011507	10	80	0	0.0	0.0
011507	10	81	23	0.0	8.779
011507	10	82	1	0.0	0.382
011704	10	10	107	32.722	31.657
011704	10	8	51	15.596	15.089
011704	10	80	0	0.0	0.0
011704	10	81	11	0.0	3.254
011704	10	82	169	0.0	50.0
011730	10	10	92	67.647	61.745
011730	10	8	44	32.353	29.53
011730	10	80	4	0.0	2.685
011730	10	81	9	0.0	6.04
011730	10	82	0	0.0	0.0
011807	10	10	109	56.477	50.935
011807	10	8	84	43.523	39.252
011807	10	80	2	0.0	0.935
011807	10	81	19	0.0	8.879
011807	10	82	0	0.0	0.0
011809	10	10	96	55.172	45.714
011809	10	8	78	44.828	37.143
011809	10	80	21	0.0	10.0
011809	10	81	15	0.0	7.143
011809	10	82	0	0.0	0.0
011878	10	10	109	49.321	44.672
011878	10	8	112	50.679	45.902
011878	10	80	3	0.0	1.23
011878	10	81	20	0.0	8.197
011878	10	82	0	0.0	0.0
011886	10	10	121	56.542	51.489
011886	10	8	93	43.458	39.574
011886	10	80	4	0.0	1.702
011886	10	81	17	0.0	7.234
011886	10	82	0	0.0	0.0
011889	10	10	127	55.217	50.8
011889	10	8	102	44.348	40.8
011889	10	80	4	0.0	1.6
011889	10	81	16	0.0	6.4
011889	10	82	1	0.0	0.4
011992	10	10	140	77.778	68.966
011992	10	8	40	22.222	19.704
011992	10	80	0	0.0	0.0
011992	10	81	23	0.0	11.33
011992	10	82	0	0.0	0.0
012169	10	10	59	55.66	53.636
012169	10	8	47	44.34	42.727
012169	10	80	4	0.0	3.636
012169	10	81	0	0.0	0.0
012169	10	82	0	0.0	0.0
012175	10	10	64	72.727	71.111
012175	10	8	24	27.273	26.667
012175	10	80	0	0.0	0.0
012175	10	81	2	0.0	2.222
012175	10	82	0	0.0	0.0
012383	10	10	108	72.973	69.231
012383	10	8	40	27.027	25.641
012383	10	80	0	0.0	0.0
012383	10	81	8	0.0	5.128
012383	10	82	0	0.0	0.0
012389	10	10	108	78.261	38.298
012389	10	8	30	21.739	10.638
012389	10	80	139	0.0	49.291
012389	10	81	5	0.0	1.773
012389	10	82	0	0.0	0.0
012394	10	10	96	76.8	74.419
012394	10	8	29	23.2	22.481
012394	10	80	2	0.0	1.55
012394	10	81	2	0.0	1.55
012394	10	82	0	0.0	0.0
012417	10	10	94	76.423	70.677
012417	10	8	29	23.577	21.805
012417	10	80	2	0.0	1.504
012417	10	81	8	0.0	6.015
012417	10	82	0	0.0	0.0
013032	10	10	152	83.978	79.167
013032	10	8	29	16.022	15.104
013032	10	80	2	0.0	1.042
013032	10	81	9	0.0	4.688
013032	10	82	0	0.0	0.0
013036	10	10	73	87.952	81.111
013036	10	8	10	12.048	11.111
013036	10	80	1	0.0	1.111
013036	10	81	6	0.0	6.667
013036	10	82	0	0.0	0.0
013702	10	10	140	64.815	38.043
013702	10	8	76	35.185	20.652
013702	10	80	140	0.0	38.043
013702	10	81	12	0.0	3.261
013702	10	82	0	0.0	0.0
013719	10	10	154	70.0	65.812
013719	10	8	66	30.0	28.205
013719	10	80	2	0.0	0.855
013719	10	81	12	0.0	5.128
013719	10	82	0	0.0	0.0
013936	10	10	123	79.355	77.848
013936	10	8	32	20.645	20.253
013936	10	80	1	0.0	0.633
013936	10	81	2	0.0	1.266
013936	10	82	0	0.0	0.0
014086	10	10	83	64.844	61.94
014086	10	8	45	35.156	33.582
014086	10	80	0	0.0	0.0
014086	10	81	6	0.0	4.478
014086	10	82	0	0.0	0.0
014453	10	10	141	77.473	73.057
014453	10	8	41	22.527	21.244
014453	10	80	4	0.0	2.073
014453	10	81	7	0.0	3.627
014453	10	82	0	0.0	0.0
014834	10	10	118	57.843	54.63
014834	10	8	85	41.667	39.352
014834	10	80	0	0.0	0.0
014834	10	81	12	0.0	5.556
014834	10	82	1	0.0	0.463
015061	10	10	197	89.954	85.652
015061	10	8	22	10.046	9.565
015061	10	80	4	0.0	1.739
015061	10	81	7	0.0	3.043
015061	10	82	0	0.0	0.0
015117	10	10	167	58.392	55.667
015117	10	8	55	19.231	18.333
015117	10	80	2	0.0	0.667
015117	10	81	12	0.0	4.0
015117	10	82	64	0.0	21.333
015123	10	10	197	80.408	77.255
015123	10	8	47	19.184	18.431
015123	10	80	3	0.0	1.176
015123	10	81	7	0.0	2.745
015123	10	82	1	0.0	0.392
015179	10	10	148	66.667	62.185
015179	10	8	72	32.432	30.252
015179	10	80	0	0.0	0.0
015179	10	81	16	0.0	6.723
015179	10	82	2	0.0	0.84
015210	10	10	198	79.2	77.647
015210	10	8	50	20.0	19.608
015210	10	80	0	0.0	0.0
015210	10	81	5	0.0	1.961
015210	10	82	2	0.0	0.784
015227	10	10	131	62.085	56.957
015227	10	8	80	37.915	34.783
015227	10	80	0	0.0	0.0
015227	10	81	19	0.0	8.261
