codigo_mesa	id_eleccion	id_ubigeo	nombre_local_votacion	codigo_local_votacion	id_ambito_geografico	electores_habiles	votos_emitidos	votos_validos	total_asistentes	participacion_ciudadana	codigo_estado_acta	descripcion_estado_acta
023209	10	100210	IE HORACIO ZEBALLOS GAMEZ	1945	1	300	0	0	0	0.0	P	Pendiente
023208	10	100210	IE HORACIO ZEBALLOS GAMEZ	1945	1	300	0	0	0	0.0	P	Pendiente
023205	10	100210	IE HORACIO ZEBALLOS GAMEZ	1945	1	300	0	0	0	0.0	P	Pendiente
023206	10	100210	IE HORACIO ZEBALLOS GAMEZ	1945	1	300	0	0	0	0.0	P	Pendiente
023207	10	100210	IE HORACIO ZEBALLOS GAMEZ	1945	1	300	0	0	0	0.0	P	Pendiente
023210	10	100210	IE HORACIO ZEBALLOS GAMEZ	1945	1	300	0	0	0	0.0	P	Pendiente
023212	10	100210	IE HORACIO ZEBALLOS GAMEZ	1945	1	300	0	0	0	0.0	P	Pendiente
023214	10	100210	IE HORACIO ZEBALLOS GAMEZ	1945	1	300	0	0	0	0.0	P	Pendiente
023211	10	100210	IE HORACIO ZEBALLOS GAMEZ	1945	1	300	0	0	0	0.0	P	Pendiente
023213	10	100210	IE HORACIO ZEBALLOS GAMEZ	1945	1	300	0	0	0	0.0	P	Pendiente
023215	10	100210	IE HORACIO ZEBALLOS GAMEZ	1945	1	300	0	0	0	0.0	P	Pendiente
023216	10	100210	IE HORACIO ZEBALLOS GAMEZ	1945	1	300	0	0	0	0.0	P	Pendiente
023217	10	100210	IE HORACIO ZEBALLOS GAMEZ	1945	1	300	0	0	0	0.0	P	Pendiente
023218	10	100210	IE HORACIO ZEBALLOS GAMEZ	1945	1	300	0	0	0	0.0	P	Pendiente
023219	10	100210	IE HORACIO ZEBALLOS GAMEZ	1945	1	300	0	0	0	0.0	P	Pendiente
023221	10	100210	IE HORACIO ZEBALLOS GAMEZ	1945	1	300	0	0	0	0.0	P	Pendiente
023220	10	100210	IE HORACIO ZEBALLOS GAMEZ	1945	1	300	0	0	0	0.0	P	Pendiente
023222	10	100210	IE HORACIO ZEBALLOS GAMEZ	1945	1	300	0	0	0	0.0	P	Pendiente
023223	10	100210	IESTP CHINCHA	1946	1	234	0	0	0	0.0	P	Pendiente
023224	10	100210	IESTP CHINCHA	1946	1	300	0	0	0	0.0	P	Pendiente
023226	10	100210	IESTP CHINCHA	1946	1	300	0	0	0	0.0	P	Pendiente
023225	10	100210	IESTP CHINCHA	1946	1	300	0	0	0	0.0	P	Pendiente
023228	10	100210	IESTP CHINCHA	1946	1	300	0	0	0	0.0	P	Pendiente
023227	10	100210	IESTP CHINCHA	1946	1	300	0	0	0	0.0	P	Pendiente
023229	10	100210	IESTP CHINCHA	1946	1	300	0	0	0	0.0	P	Pendiente
023230	10	100210	IESTP CHINCHA	1946	1	300	0	0	0	0.0	P	Pendiente
023231	10	100210	IESTP CHINCHA	1946	1	300	0	0	0	0.0	P	Pendiente
023232	10	100210	IE 22687 ALMIRANTE MIGUEL GRAU	11196	1	230	0	0	0	0.0	P	Pendiente
023233	10	100210	IE 22687 ALMIRANTE MIGUEL GRAU	11196	1	300	0	0	0	0.0	P	Pendiente
023234	10	100210	IE 22687 ALMIRANTE MIGUEL GRAU	11196	1	300	0	0	0	0.0	P	Pendiente
023236	10	100210	IE 22687 ALMIRANTE MIGUEL GRAU	11196	1	300	0	0	0	0.0	P	Pendiente
023235	10	100210	IE 22687 ALMIRANTE MIGUEL GRAU	11196	1	300	0	0	0	0.0	P	Pendiente
023237	10	100210	IE 22687 ALMIRANTE MIGUEL GRAU	11196	1	300	0	0	0	0.0	P	Pendiente
023238	10	100210	IE 22687 ALMIRANTE MIGUEL GRAU	11196	1	300	0	0	0	0.0	P	Pendiente
023239	10	100210	IE 22687 ALMIRANTE MIGUEL GRAU	11196	1	300	0	0	0	0.0	P	Pendiente
023240	10	100210	IE 22687 ALMIRANTE MIGUEL GRAU	11196	1	300	0	0	0	0.0	P	Pendiente
023241	10	100210	IE 22774 EX 401 DIVINO NIÑO JESUS	11198	1	230	174	167	174	75.652	C	Contabilizada
023242	10	100210	IE 22774 EX 401 DIVINO NIÑO JESUS	11198	1	300	0	0	0	0.0	P	Pendiente
023243	10	100210	IE 22774 EX 401 DIVINO NIÑO JESUS	11198	1	300	243	230	243	81.0	C	Contabilizada
023244	10	100210	IE 22774 EX 401 DIVINO NIÑO JESUS	11198	1	300	259	249	259	86.333	C	Contabilizada
023245	10	100210	IE 22774 EX 401 DIVINO NIÑO JESUS	11198	1	300	0	0	0	0.0	P	Pendiente
023246	10	100210	IE 22774 EX 401 DIVINO NIÑO JESUS	11198	1	300	0	0	0	0.0	P	Pendiente
023248	10	100210	IE 22774 EX 401 DIVINO NIÑO JESUS	11198	1	300	0	0	0	0.0	P	Pendiente
023247	10	100210	IE 22774 EX 401 DIVINO NIÑO JESUS	11198	1	300	0	0	0	0.0	P	Pendiente
023250	10	100210	IE 22255 ROLANDO ALZAMORA PAREDES	11201	1	286	0	0	0	0.0	P	Pendiente
023249	10	100210	IE 22774 EX 401 DIVINO NIÑO JESUS	11198	1	300	0	0	0	0.0	P	Pendiente
023251	10	100210	IE 22255 ROLANDO ALZAMORA PAREDES	11201	1	300	0	0	0	0.0	P	Pendiente
023252	10	100210	IE 22255 ROLANDO ALZAMORA PAREDES	11201	1	300	0	0	0	0.0	P	Pendiente
023253	10	100210	IE 22255 ROLANDO ALZAMORA PAREDES	11201	1	300	0	0	0	0.0	P	Pendiente
023254	10	100210	IE 22255 ROLANDO ALZAMORA PAREDES	11201	1	300	0	0	0	0.0	P	Pendiente
023255	10	100210	IE 22255 ROLANDO ALZAMORA PAREDES	11201	1	300	0	0	0	0.0	P	Pendiente
023257	10	100210	IE 22255 ROLANDO ALZAMORA PAREDES	11201	1	300	0	0	0	0.0	P	Pendiente
023256	10	100210	IE 22255 ROLANDO ALZAMORA PAREDES	11201	1	300	0	0	0	0.0	P	Pendiente
023258	10	100210	IE 22255 ROLANDO ALZAMORA PAREDES	11201	1	300	0	0	0	0.0	P	Pendiente
023259	10	100210	IE FE Y ALEGRIA 30	17192	1	271	0	0	0	0.0	P	Pendiente
023260	10	100210	IE FE Y ALEGRIA 30	17192	1	296	0	0	0	0.0	P	Pendiente
023261	10	100210	IE FE Y ALEGRIA 30	17192	1	296	0	0	0	0.0	P	Pendiente
023262	10	100210	IE FE Y ALEGRIA 30	17192	1	296	0	0	0	0.0	P	Pendiente
023263	10	100210	IE FE Y ALEGRIA 30	17192	1	296	0	0	0	0.0	P	Pendiente
023264	10	100210	IE FE Y ALEGRIA 30	17192	1	296	0	0	0	0.0	P	Pendiente
023266	10	100210	IE FE Y ALEGRIA 30	17192	1	296	0	0	0	0.0	P	Pendiente
023265	10	100210	IE FE Y ALEGRIA 30	17192	1	296	0	0	0	0.0	P	Pendiente
023267	10	100210	IE FE Y ALEGRIA 30	17192	1	296	0	0	0	0.0	P	Pendiente
023270	10	100210	IE FE Y ALEGRIA 30	17192	1	296	0	0	0	0.0	P	Pendiente
023271	10	100210	IE FE Y ALEGRIA 30	17192	1	296	0	0	0	0.0	P	Pendiente
023272	10	100210	IE FE Y ALEGRIA 30	17192	1	296	0	0	0	0.0	P	Pendiente
023268	10	100210	IE FE Y ALEGRIA 30	17192	1	296	0	0	0	0.0	P	Pendiente
023269	10	100210	IE FE Y ALEGRIA 30	17192	1	296	0	0	0	0.0	P	Pendiente
023273	10	100210	IE FE Y ALEGRIA 30	17192	1	296	0	0	0	0.0	P	Pendiente
023275	10	100210	IE FE Y ALEGRIA 30	17192	1	296	0	0	0	0.0	P	Pendiente
023276	10	100210	IE FE Y ALEGRIA 30	17192	1	296	0	0	0	0.0	P	Pendiente
023274	10	100210	IE FE Y ALEGRIA 30	17192	1	296	0	0	0	0.0	P	Pendiente
023277	10	100210	IEP DONALD SCARROW	31075	1	289	228	211	228	78.893	C	Contabilizada
023278	10	100210	IEP DONALD SCARROW	31075	1	300	231	221	231	77.0	C	Contabilizada
023279	10	100210	IEP DONALD SCARROW	31075	1	300	246	229	246	82.0	C	Contabilizada
023280	10	100210	IEP DONALD SCARROW	31075	1	300	235	224	235	78.333	C	Contabilizada
023282	10	100210	IEP DONALD SCARROW	31075	1	300	0	0	0	0.0	P	Pendiente
023281	10	100210	IEP DONALD SCARROW	31075	1	300	255	235	255	85.0	C	Contabilizada
023283	10	100210	IEP DONALD SCARROW	31075	1	300	254	234	254	84.667	C	Contabilizada
023285	10	100210	IEP DONALD SCARROW	31075	1	300	242	228	242	80.667	C	Contabilizada
023284	10	100210	IEP DONALD SCARROW	31075	1	300	243	233	243	81.0	C	Contabilizada
023286	10	100211	IE 22257 - PRIMARIA	1947	1	290	0	0	0	0.0	P	Pendiente
023287	10	100211	IE 22257 - PRIMARIA	1947	1	300	0	0	0	0.0	P	Pendiente
023288	10	100211	IE 22257 - SECUNDARIA	40276	1	228	0	0	0	0.0	P	Pendiente
023289	10	100211	IE 22257 - SECUNDARIA	40276	1	234	0	0	0	0.0	P	Pendiente
023290	10	100301	IE 22401 MARIA REICHE NEUMANN	1948	1	230	0	0	0	0.0	P	Pendiente
023291	10	100301	IE 22401 MARIA REICHE NEUMANN	1948	1	300	0	0	0	0.0	P	Pendiente
023292	10	100301	IE 22401 MARIA REICHE NEUMANN	1948	1	300	0	0	0	0.0	P	Pendiente
023294	10	100301	IE 22401 MARIA REICHE NEUMANN	1948	1	300	0	0	0	0.0	P	Pendiente
023293	10	100301	IE 22401 MARIA REICHE NEUMANN	1948	1	300	0	0	0	0.0	P	Pendiente
023296	10	100301	IE 22401 MARIA REICHE NEUMANN	1948	1	300	0	0	0	0.0	P	Pendiente
023295	10	100301	IE 22401 MARIA REICHE NEUMANN	1948	1	300	0	0	0	0.0	P	Pendiente
023297	10	100301	IE 22401 MARIA REICHE NEUMANN	1948	1	300	0	0	0	0.0	P	Pendiente
023298	10	100301	IE 22401 MARIA REICHE NEUMANN	1948	1	300	0	0	0	0.0	P	Pendiente
023300	10	100301	IE 22402 MICAELA BASTIDAS	1949	1	300	0	0	0	0.0	P	Pendiente
023299	10	100301	IE 22402 MICAELA BASTIDAS	1949	1	230	0	0	0	0.0	P	Pendiente
023301	10	100301	IE 22402 MICAELA BASTIDAS	1949	1	300	0	0	0	0.0	P	Pendiente
