id_eleccion	ubigeo	partido_id	nombre_candidato	nombre_agrupacion_politica	votos_validos	pct_votos_validos	pct_votos_emitidos	total_votos_validos_geo	total_votos_emitidos_geo	fuente
10	942600	82	VOTOS IMPUGNADOS	VOTOS IMPUGNADOS	0	0.0	0.0	47	49	local_agregado
10	942700	10	JUNTOS POR EL PERÚ	JUNTOS POR EL PERÚ	567	61.9	59.873	916	947	local_agregado
10	942700	8	FUERZA POPULAR	FUERZA POPULAR	482	52.62	50.898	916	947	local_agregado
10	942700	80	VOTOS EN BLANCO	VOTOS EN BLANCO	11	1.201	1.162	916	947	local_agregado
10	942700	81	VOTOS NULOS	VOTOS NULOS	22	2.402	2.323	916	947	local_agregado
10	942700	82	VOTOS IMPUGNADOS	VOTOS IMPUGNADOS	1	0.109	0.106	916	947	local_agregado
10	942800	10	JUNTOS POR EL PERÚ	JUNTOS POR EL PERÚ	903	43.856	41.308	2059	2186	local_agregado
10	942800	8	FUERZA POPULAR	FUERZA POPULAR	1296	62.943	59.286	2059	2186	local_agregado
10	942800	80	VOTOS EN BLANCO	VOTOS EN BLANCO	26	1.263	1.189	2059	2186	local_agregado
10	942800	81	VOTOS NULOS	VOTOS NULOS	110	5.342	5.032	2059	2186	local_agregado
10	942800	82	VOTOS IMPUGNADOS	VOTOS IMPUGNADOS	0	0.0	0.0	2059	2186	local_agregado
10	943700	10	JUNTOS POR EL PERÚ	JUNTOS POR EL PERÚ	1	33.333	25.0	3	4	local_agregado
10	943700	8	FUERZA POPULAR	FUERZA POPULAR	2	66.667	50.0	3	4	local_agregado
10	943700	80	VOTOS EN BLANCO	VOTOS EN BLANCO	0	0.0	0.0	3	4	local_agregado
10	943700	81	VOTOS NULOS	VOTOS NULOS	1	33.333	25.0	3	4	local_agregado
10	943700	82	VOTOS IMPUGNADOS	VOTOS IMPUGNADOS	0	0.0	0.0	3	4	local_agregado
10	950100	10	JUNTOS POR EL PERÚ	JUNTOS POR EL PERÚ	700	39.194	36.477	1786	1919	local_agregado
10	950100	8	FUERZA POPULAR	FUERZA POPULAR	1217	68.141	63.418	1786	1919	local_agregado
10	950100	80	VOTOS EN BLANCO	VOTOS EN BLANCO	10	0.56	0.521	1786	1919	local_agregado
10	950100	81	VOTOS NULOS	VOTOS NULOS	126	7.055	6.566	1786	1919	local_agregado
10	950100	82	VOTOS IMPUGNADOS	VOTOS IMPUGNADOS	1	0.056	0.052	1786	1919	local_agregado
10	950200	10	JUNTOS POR EL PERÚ	JUNTOS POR EL PERÚ	83	32.937	32.171	252	258	local_agregado
10	950200	8	FUERZA POPULAR	FUERZA POPULAR	169	67.063	65.504	252	258	local_agregado
10	950200	80	VOTOS EN BLANCO	VOTOS EN BLANCO	0	0.0	0.0	252	258	local_agregado
10	950200	81	VOTOS NULOS	VOTOS NULOS	6	2.381	2.326	252	258	local_agregado
10	950200	82	VOTOS IMPUGNADOS	VOTOS IMPUGNADOS	0	0.0	0.0	252	258	local_agregado
